,Asin,EAN,Product Title,Image,Stock Quantity,Price,Manifest No,Invoice No,Invoice Date
0,B089R96LTK,785614282300.0,Fimpex Compatible Toner Cartridge Replacement for HP Laser 107 107a 107w MFP 130 Series MFP 135a MFP 135ag MFP 135w MFP 135wg MFP 137fnw MFP 137fwg MFP 138fnw MFP 138fw MFP 138p W1106A (Black),https://m.media-amazon.com/images/I/61nax-n9RuS.jpg,15,3.27,spW64G8018D,JL200974,2023-12-06
1,B0B21BRVFG,754131258952.0,LeciRoba 603XL Ink Cartridge Replacement for Epson 603 603XL Ink Cartridge for Epson XP-2100 XP-2150 XP-3100 XP-3150 XP-4100 XP-4150 XP-4155 Workforce WF-2810 WF-2820 WF-2840 WF-2870 Printer(6 Color),https://m.media-amazon.com/images/I/71idDU7qytL.jpg,26,1.69,spIkw11alrK,JL200974,2023-12-06
2,B0BXKKXMGS,751271419908.0,"D Shape Soft Close Toilet Seat,Toilet Seat White,Soft Close Toilet Seat for Easy Cleaning,Top Fixing Stainless Steel Hinges Toilet Seats (42 * 33.5)",https://m.media-amazon.com/images/I/31HwlDzEzhL.jpg,1,1.15,spIhX11d4bb,JL200974,2023-12-06
3,B07NKXD6YP,7441502458440.0,"ml MassAri Limited Fleece Blanket Sofa Bed Throw 200x240 Purple King Size Luxurious Cosy Winter Warm Faux Fur Reversible (Purple, King)",https://m.media-amazon.com/images/I/61sHB6WxGjL.jpg,1,1.59,spIhX11Du9N,JL200974,2023-12-06
4,B07PV8HTBQ,7441502458457.0,"ml MassAri Limited Fleece Blanket Sofa Bed Throw 200x240 Silver King Size Luxurious Cosy Winter Warm Reversible (Light Grey/Silver, King)",https://m.media-amazon.com/images/I/61sHB6WxGjL.jpg,1,1.59,spIhX11Du9N,JL200974,2023-12-06
5,B08W22KDR1,5019710035979.0,"ml MassAri Limited Fleece Blanket Sofa Bed Throw 200x240 Blush Pink King Size Luxurious Cosy Winter Warm Faux Fur Reversible (Blush Pink, King)",https://m.media-amazon.com/images/I/61sHB6WxGjL.jpg,1,1.59,spIhX11Du9N,JL200974,2023-12-06
6,B0BHYV2CFH,5019710208427.0,"ml MassAri Limited Fleece Blanket Sofa Bed Throw 130x150 Black Single Size Luxurious Cosy Winter Warm Faux Fur Reversible (Black, Single)",https://m.media-amazon.com/images/I/611ISMdmTcL.jpg,1,1.59,spIhX11Du9N,JL200974,2023-12-06
7,B0BX65JF8W,,"Fitted bed Sheet 40CM Extra Deep Red Double Bed Size Hotel Quality Poly Cotton (Red, Double 40CM)",https://m.media-amazon.com/images/I/61wPuTOCrkL.jpg,1,1.59,spIhX11Du9N,JL200974,2023-12-06
8,B0BX66983Z,,"Hotel Quality Poly Cotton Bed Sheet Extra Deep Fitted Sheet Bed Size (White, Single 40CM)",https://m.media-amazon.com/images/I/51bgq+NxmWL.jpg,1,1.59,spIhX11Du9N,JL200974,2023-12-06
9,B0BX66N882,,"Fitted bed Sheet 25CM Deep Navy King Bed Size Hotel Quality Poly Cotton (Navy Blue, King 25CM)",https://m.media-amazon.com/images/I/6113cWHhAqL.jpg,1,1.59,spIhX11Du9N,JL200974,2023-12-06
10,B0BXPMCVCQ,5019710281703.0,"ml MassAri Limited Fleece Blanket Sofa Bed Throw 230x270 Green Super King Size Luxurious Cosy Winter Warm Faux Fur Reversible (Green, Super King)",https://m.media-amazon.com/images/I/51zKtIfKLUL.jpg,1,1.59,spIhX11Du9N,JL200974,2023-12-06
11,B0BXPNNBXM,5019710281628.0,"ml MassAri Limited Fleece Blanket Sofa Bed Throw 150x200 Green Double Size Luxurious Cosy Winter Warm Faux Fur Reversible (Green, Double)",https://m.media-amazon.com/images/I/61U8FeglUOL.jpg,1,1.59,spIhX11Du9N,JL200974,2023-12-06
12,B07SFDFWYV,745103091363.0,"Luvan 2L Thermal Carafe, 304 18/10 Stainless Steel Double Walled Vacuum Insulated Coffee Carafe Jugs with Press Button Top,12+ Hrs Heat&24+ Hrs Cold Retention,BPA Free,for Coffee,Tea,Beverage-Black",https://m.media-amazon.com/images/I/51a9aHMUEcL.jpg,1,1.35,LPNWE202898655,JL200974,2023-12-06
13,B0C52T43MN,6974454768912.0,"JANERIW Serving Tray with Handles Ottoman Tray for Living Room, Modern Rectangular Leather Large Coffee Table Trays, Light gold Decorative Tray",https://m.media-amazon.com/images/I/611LxaO5Y8L.jpg,1,1.2,LPNWE193846009,JL200974,2023-12-06
14,B0C5QZQVC4,,"Switory Bubble Mailer 100 Pack Small Padded Envelope with 4x8'' & 6x10'' Strong Adhesion Cute Padded Mailer,Self-Seal Bubble Envelope Mailing for Small Business, Teal Bubble Mailers Shipping Envelopes",https://m.media-amazon.com/images/I/619CqrPMmYL.jpg,1,7.0,LPNWE194863920,JL200974,2023-12-06
15,B07PHSHJKG,,sinocare (Safe Accu) Diabetes Strips/Blood Glucose Test Strips 100 pcs No Need Code (Only for sinocare Safe Accu Blood Glucose Monitor),https://m.media-amazon.com/images/I/711P4jS+FSL.jpg,1,0.75,LPNWE193800664,JL200974,2023-12-06
16,B019E6FSPC,3976564483269.0,"Rohi Luxury Fitted Valance Sheet Double - Easy Care Double Fitted Sheet, Frilled - Fit over Mattress & Down to the Floor (Double, White)",https://m.media-amazon.com/images/I/71uL4hiZDIL.jpg,1,0.45,spIhX11AKoX,JL200974,2023-12-06
17,B01D1IGFI8,3089993491702.0,"Rohi Easy Care plain Double Duvet Cover set â€“ Soft & Breathable Lilac Bedding Set â€“ Button Closure â€“ Anti Allergy Quilt Set with Pillowcases (Double, Lilac)",https://m.media-amazon.com/images/I/51vWDmaLxLL.jpg,1,0.45,spIhX11AKoX,JL200974,2023-12-06
